FIRE_NAME,start,end,NDVI_max
GOLD,2020-09-30,2020-10-03,-981.2225398121683
BLUEJAY,2020-10-05,2020-10-08,-755.3396183030583
WALKER,2019-11-24,2019-11-27,-622.6572181938035
LOYALTON,2020-08-26,2020-08-27,-592.5573170731706
BACCARAT,2020-10-07,2020-10-10,-529.5405759162303
NORTH COMPLEX,2020-10-25,2020-10-28,-519.3198938376528
GLASS,2020-10-12,2020-10-15,-461.80177526336325
AUGUST COMPLEX FIRES,2020-10-12,2020-10-15,-335.56590780542984
SLINK,2020-10-13,2020-10-16,-333.54766420793817
ZOGG,2020-10-06,2020-10-09,-305.79175262795945
LONE,2019-10-17,2019-10-20,-228.6681766704417
WALLBRIDGE,2020-09-01,2020-09-02,-222.0810097657844
RED SALMON COMPLEX,2020-10-22,2020-10-25,-158.73954372623572
SPRINGS,2019-12-14,2019-12-17,-130.3487358326068
CAMP,2018-11-17,2018-11-20,-90.34990304676528
HELENA,2017-11-13,2017-11-14,-72.83055525489773
HENNESSEY,2020-08-23,2020-08-26,-57.491141635680066
CHEROKEE,2017-11-04,2017-11-05,11.575023542952811
TRAILHEAD,2016-10-14,2016-10-17,20.04468396818753
KINCADE,2019-11-07,2019-11-10,62.504644217332896
CEDAR,2017-09-19,2017-09-22,161.80979113349295
BEAR,2015-09-14,2015-09-17,162.49100794646588
W-5 COLD SPRINGS,2020-08-24,2020-08-27,176.0379662385772
SHEEP,2020-08-23,2020-08-26,239.29674844862274
ABNEY,2017-11-08,2017-11-11,335.20919844992864
NATCHEZ,2018-12-15,2018-12-18,462.352244897959
CALDWELL,2020-08-24,2020-08-27,501.66691547352497
SHEILL,2015-09-13,2015-09-16,585.5024163399289
PEAK SHA,2015-09-13,2015-09-16,661.9504706889172
R-4 PARSNIP,2017-09-14,2017-09-15,681.6428029824336
VALLEY ,2015-09-12,2015-09-15,694.736850050002
WALLOW,2017-11-09,2017-11-12,715.295408795916
JOHNSON,2015-09-13,2015-09-16,736.1472958208136
RAIL,2015-09-13,2015-09-16,758.13412386828
DODGE,2015-07-31,2015-08-03,764.8776741634673
OAK,2017-09-19,2017-09-22,918.8439993236072
HAYPRESS,2017-09-18,2017-09-21,1044.0489487516425
BUTTE,2015-09-13,2015-09-16,1051.344186820963
PATTISON,2015-08-17,2015-08-18,1102.1874584287932
COON,2015-08-28,2015-08-31,1110.907971339006
GROVES,2015-08-17,2015-08-20,1179.8073362075063
MOORE,2018-07-31,2018-08-03,1347.2026996625418
COVE,2017-08-06,2017-08-09,1367.1714496271893
PEAK,2015-09-15,2015-09-18,1389.0362810810807
PARKER2 ,2017-08-06,2017-08-09,1410.0188867349768
NICKOWITZ,2015-09-15,2015-09-18,1468.5834525660957
STEELE,2017-08-04,2017-08-07,1604.0875357491939
MUD,2017-09-10,2017-09-11,1647.8505301794448
RED BANK,2019-09-08,2019-09-11,1792.806816273994
SLINKARD,2017-09-04,2017-09-07,1797.1535570223696
STONE,2018-08-21,2018-08-24,1931.8613678373367
GOBBLER,2015-08-02,2015-08-05,1945.2270947068594
NORTH,2020-08-05,2020-08-08,1996.42826682912
BUCK,2017-09-18,2017-09-21,2107.860407352211
ATLAS,2017-10-11,2017-10-14,2280.1458926694286
HIRZ,2018-07-31,2018-08-03,2297.68402060603
OWENS RIVER,2016-10-23,2016-10-26,2328.6238095238095
NUNS,2017-10-11,2017-10-14,2335.5776280699697
PICKETT,2015-08-02,2015-08-05,2398.5279441117773
TUBBS,2017-10-11,2017-10-14,2504.436818953646
WAVERLY,2018-08-07,2018-08-09,2690.197268864603
RIVER,2018-08-08,2018-08-10,2716.4642400494954
HAPPY,2015-08-02,2015-08-05,2751.907624530896
BOOT,2018-09-05,2018-09-08,2899.3453118546054
LASSICS,2015-08-02,2015-08-05,2919.377374497436
RANCH,2018-08-20,2018-08-23,3087.9032793787815
CARR ,2018-08-22,2018-08-25,3208.388622185371
WHALEBACK,2018-08-02,2018-08-05,3233.7464846556504
GRANT FIRE,2020-06-03,2020-06-06,3462.4042348411936
LONG VALLEY,2017-07-26,2017-07-27,3487.4732099546973
JERUSALEM ,2015-07-31,2015-08-03,3547.5116688364897
KLAMATHON,2018-07-20,2018-07-21,3780.6338144639903
COLD,2016-08-08,2016-08-09,3865.52704977158
CASCADE,2017-10-17,2017-10-20,3877.6131983580326
POCKET,2017-10-11,2017-10-14,3889.369206949939
ROCKY  ,2015-08-04,2015-08-07,3928.975862752876
WRAGG ,2015-07-31,2015-08-03,3965.1922406861413
COUNTY,2018-07-06,2018-07-09,4326.844147621425
PAWNEE,2018-07-02,2018-07-05,4583.742056504097
WALL,2017-07-31,2017-08-03,4954.861510910658
REDWOOD VALLEY,2017-10-20,2017-10-23,4964.507886110493
CASTLE,2015-06-20,2015-06-23,6899.962715280324
MOUNTAIN VIEW,2020-11-08,2020-11-11,
